City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,taoudenni,22.6783,-3.9836,19.910000000000025,20,44,5.33,ML,1702337099
297,chonchi,-42.6128,-73.8092,13.560000000000002,92,100,2.21,CL,1702337099
298,fale old settlement,-9.3852,-171.2468,28.79000000000002,77,100,9.77,TK,1702337100
299,ixtapa,20.7,-105.2,27.57000000000005,74,0,4.12,MX,1702337100
300,alvaraes,-3.2208,-64.8042,26.930000000000007,89,95,1.28,BR,1702337100
301,nikolayevka,53.1257,47.2041,-13.659999999999968,84,100,7.81,RU,1702337100
302,huskvarna,57.786,14.3021,-1.0,100,75,4.63,SE,1702337100
303,akureyri,65.6835,-18.0878,-9.039999999999964,92,20,0.0,IS,1702337100
304,gumdag,39.2061,54.5906,-0.9599999999999795,44,3,12.98,TM,1702337100
305,taksimo,56.3444,114.8794,-33.69999999999999,95,62,0.3,RU,1702337101
306,luanda,-8.8368,13.2343,25.0,94,20,1.03,AO,1702337096
307,dudinka,69.4058,86.1778,-24.619999999999976,98,100,6.26,RU,1702337101
308,glenfield park,-35.1372,147.334,28.230000000000018,57,98,0.89,AU,1702337101
309,belmonte,-15.8631,-38.8828,26.160000000000025,81,83,5.52,BR,1702337101
310,anthiyur,11.5833,77.6,22.510000000000048,94,93,0.66,IN,1702337101
311,kourou,5.1552,-52.6478,28.03000000000003,88,93,2.84,GF,1702337101
312,sussex,41.1834,-74.6663,3.670000000000016,70,100,1.34,US,1702336930
313,torghay,49.6339,63.4981,-26.109999999999985,73,6,7.58,KZ,1702336829
314,dwarka,22.2394,68.9678,22.03000000000003,57,96,3.06,IN,1702337102
315,portarlington,53.1622,-7.1911,9.600000000000023,95,100,2.24,IE,1702337102
316,zindah jan,34.3426,61.7468,6.520000000000039,81,21,3.34,AF,1702337103
317,santa isabel,-23.3156,-46.2214,21.840000000000032,93,94,2.27,BR,1702337103
318,vilyuysk,63.7553,121.6247,-27.159999999999968,97,100,3.12,RU,1702337103
319,essaouira,31.5125,-9.77,14.720000000000027,54,8,2.06,MA,1702337103
320,imbituba,-28.24,-48.6703,21.210000000000036,77,79,3.23,BR,1702337104
321,arkhangel'sk,64.5401,40.5433,-13.939999999999998,77,40,3.0,RU,1702336807
322,poronaysk,49.2167,143.1167,-17.23999999999998,86,33,2.42,RU,1702337104
323,umluj,25.0213,37.2685,25.02000000000004,70,100,3.89,SA,1702337104
324,magadan,59.5667,150.8,-8.95999999999998,95,100,3.83,RU,1702337105
325,bor,56.3567,44.0669,-10.859999999999957,91,100,7.87,RU,1702337105
326,ruteng,-8.6136,120.4721,19.590000000000032,86,99,0.29,ID,1702337105
